t,y
0.0,380.0
0.20408163265306123,379.79639431362534
0.40816326530612246,379.18747438444245
0.6122448979591837,378.17607099602486
0.8163265306122449,376.76499516127365
1.0204081632653061,374.95703826049703
1.2244897959183674,372.75497217852774
1.4285714285714286,370.16154944088413
1.6326530612244898,367.17950334897944
1.836734693877551,363.81154811438495
2.0408163265306123,360.0603789921555
2.2448979591836737,355.92867241322745
2.4489795918367347,351.41908611588815
2.6530612244897958,346.5342592763293
2.857142857142857,341.2768126382887
3.0612244897959187,335.64934864178144
3.2653061224489797,329.6544515509414
3.4693877551020407,323.2946875809622
3.673469387755102,316.5726050241526
3.8775510204081636,309.490734375117
